article_id,positive_sentiment,negative_sentiment,organizations,persons,locations,timestamp,longitude,latitude
20190220210000-2531,2.3351648351648397,0.13736263736263699,instagram;samsung,,,20190220210000,,
20190408183000-2547,2.67857142857143,5.35714285714286,,tom bateman;benny gantz;benjamin netanyahu,"Hebron, Israel (General), Israel;Israel;West Bank",20190408183000,35.1,31.5333
20190115224500-172,2.1875,4.6875,treasury department;new york times;senate republicans;senate democrats;senate minority leader chuck schumer,oleg deripaska;steven mnuchin;steny hoyer,"New York, United States;Moscow, Moskva, Russia;Russia;White House, District Of Columbia, United States",20190115224500,-74.9384,42.1497
20190710133000-176,1.57657657657658,7.20720720720721,department of health;facebook;cnn,kara fox;philip undialu;james marape;pimua kolo;francis tokura,"Papua New Guinea;Porgera, Enga, Papua New Guinea",20190710133000,147.0,-6.0
20190708203000-2056,3.1657355679702004,2.4208566108007403,,addis ababa;megan werner,"Washington, United States;Cairo, Al Qahirah, Egypt;Michigan, United States;Egypt;Sudan;Addis Ababa, (Et10), Ethiopia;Cape Town, Western Cape, South Africa;South Africa;Tanzania;Uganda;Ethiopia",20190708203000,-121.571,47.3917
20190205100000-1035,0.0,4.62962962962963,white house,barack obama;carl hiaasen;hardtalk stephen sackur,"United States;Washington, Washington, United States",20190205100000,-98.5795,39.828175
20190420203000-420,2.8125,4.53125,boeing;new york times;aviation administration;cnn,zachary cohen;brad zaback;john barnett;barbara starr;lynn lunsford,"New York, United States;Charleston, South Carolina, United States;North Charleston, South Carolina, United States;South Carolina, United States;White House, District Of Columbia, United States",20190420203000,-74.9384,42.1497
20190815124500-1686,0.584795321637427,5.55555555555556,cnn,lorenzo sonego;nick kyrgios;fergus murphy,"Italy;Australia;Cincinnati, Ohio, United States;Washington, Washington, United States",20190815124500,12.833333,42.833333
20191018150000-1022,0.279329608938547,6.14525139664804,barcelona city council;spanish football federation;cnn,el clasico,"Spain;Las Palmas, Canarias, Spain;Barcelona, Comunidad Autonoma De Cataluna, Spain;Madrid, Madrid, Spain",20191018150000,-4.0,40.0
20190627140000-1955,4.9382716049382696,7.81893004115226,northern ireland office,judith thompson,"Northern Ireland, Craigavon, United Kingdom",20190627140000,-6.5,54.5
20191013011500-15,3.07062436028659,2.86591606960082,eu commission;democratic unionist party mps;opening of parliament on;reuters,james cleverly;nick eardley;keir starmer;david frost;nigel dodds;jacob rees-mogg;boris johnson,"Italy;Ireland;United Kingdom;Brussels, Bruxelles-Capitale, Belgium;Northern Ireland, Craigavon, United Kingdom",20191013011500,12.833333,42.833333
20191122070000-1459,0.806451612903226,8.60215053763441,department of health,heather monteverde,"Northern Ireland, Craigavon, United Kingdom",20191122070000,-6.5,54.5
20190825163000-805,3.48837209302326,4.069767441860472,,,United States;France,20190825163000,-98.5795,39.828175
20191005000000-1719,1.7334777898158202,4.11700975081257,national agricultural marketing federation;bharatiya janata party,janhavee moolee;milind murugkar;arvind kejriwal;nanasaheb patil;indira gandhi;dipti raut;mohseena mukadam;vikas darekar,"Lasalgaon, Maharashtra, India;Bangladesh;Karnataka, Karnataka, India;Delhi, Delhi, India;India",20191005000000,74.2333,20.15
20191011131500-2258,0.9852216748768472,9.85221674876847,nissan;renault,thierry bollor;hiroto saikawa;carlos ghosn;clotilde delbos;thierry bollore,"Japan;Tokyo, Tokyo, Japan;France;London, London, City Of, United Kingdom",20191011131500,138.0,36.0
20190104163000-2537,1.6835016835016798,4.37710437710438,,maria bain;laura shirra;hugh maclellan,"Eriboll, Highland, United Kingdom;Loch Eriboll, Highland, United Kingdom;Durness, Highland, United Kingdom;North Sea, Oceans (General), Oceans",20190104163000,-4.683330000000001,58.4667
20190630230000-503,2.84784377542718,3.9869812855980498,democratic party;cnn,alex burns;john delaney;donald trump;barack obama;elizabeth warren;john hickenlooper;jonathan martin;james eastland;joe biden;hillary clinton;bernie sanders;kirsten gillibrand;kamala harris,"Miami, Florida, United States;New York, United States;Vanuatu;Texas, United States;Massachusetts, United States;Vermont, United States;Iowa, United States;Colorado, United States;Canada;Moldova;Lincoln Memorial, District Of Columbia, United States;Ohio, United States;Washington, United States;Seattle, Washington, United States",20190630230000,-80.1937,25.7743
20200101121500-31,3.11004784688995,4.22647527910686,u s embassy;white house,toni holt kramer;kimberly guilfoyle;donald trump;melania trump;ben carson;jared kushner;nancy pelosi;ivanka trump;rudy giuliani;eric trump,"New York, United States;Iraq;United States;Baghdad, Baghdad, Iraq;Iran;Alaska, United States;White House, District Of Columbia, United States;Florida, United States;Canada;North Korea;Palm Beach, Florida, United States;France",20200101121500,-74.9384,42.1497
20190220220000-1021,3.125,2.23214285714286,,shaun kildare,"New York, United States",20190220220000,-74.9384,42.1497
20190801114500-102,0.742115027829314,4.8237476808905395,european union;monetary policy committee,mark carney,China;United Kingdom,20190801114500,105.0,35.0
20190618123000-337,7.58354755784062,0.6426735218509001,united airlines;asia singapore airlines;air france;world best regional airline bangkok airways;qatar airways;most improved airline in europe;singapore airlines;airasia;world best airlines;qantas airways;airline lounges;airline in asia;australia pacific fiji airways;world cleanest airlines;airlines westjet;thai airways;star alliance los angeles;world best airline;airline seats;swiss international airlines;nippon airways;all nippon airways;australia pacific jetstar airways;airline staff in europe;cost airlines;asiana airlines;asia bangkok airways;hainan airlines;asia thai airways;china hainan airlines;regional airlines;qatar airways group;central asia india azerbaijan airlines;british airways;australia pacific qantas airlines;africa ethiopian airlines;lufthansa;central america caribbean copa airlines;america jetblue airways;emirates;eastern europe aeroflot russian airlines;business class lounge united airlines;premium economy austrian airlines;business qatar airways;airline staff;air canada;cathay pacific;cnn;cost airline;airline catering;airlines staff service;europe british airways;japan airlines;africa south african airways;swiss international air lines;economy japan airlines;america sky airline;skytrax world airline;america azul brazilian airlines,africa fastjet;virgin atlantic;akbar al baker;europe finnair;europe easyjet;asia airasia,"Qatar;Australia;Japan;United States;Paris, France (General), France;United Kingdom;Heathrow, Hillingdon, United Kingdom;Azerbaijan;China;South Africa;Austria;Russia;California, United States;Ethiopia;Astana, Gorod Astana, Kazakhstan;Le Bourget, Rh̫Alpes, France;Thailand;India;Hainan, Hainan, China;Singapore;Missouri, United States;Bangkok, Krung Thep Mahanakhon, Thailand;Los Angeles, California, United States;France;Switzerland",20190618123000,51.25,25.5
20190312073000-576,1.9736842105263201,5.26315789473684,boeing;business school;singapore civil aviation authority;ethiopian airlines;aviation authority,marc szepan,Singapore;Ethiopia,20190312073000,103.8,1.366667
20190811001500-660,3.9454806312769,1.5781922525107601,international dance music,floris heuer;david lewis;armin van buuren;maykel piron;carl loben;nadine van bodegraven;erick morillo;amy winehouse,"New York, United States;Argentina;United States;India;Netherlands;United Kingdom;Brazil;China;Ohio, United States;London, London, City Of, United Kingdom",20190811001500,-74.9384,42.1497
20191109151500-235,4.69406819243344,1.7515179822512799,election center;app international edition;international tv shows;olympics;cnn;health news;app health section;center piece;worldwide inspiration for hotel;international homepage,,China;Australia;India;Brazil,20191109151500,105.0,35.0
20191009160000-687,0.166666666666667,3.3333333333333304,oregon state university college of science;cnn;oxford university,george poinar jr,Greece,20191009160000,22.0,39.0
20191222194500-709,0.0,8.02919708029197,anoka county sheriff office;spring lake park police department;cnn,,"Minnesota, United States;Lake Park Police Department, Minnesota, United States;Spring Lake Park, Minnesota, United States;Anoka County, Minnesota, United States",20191222194500,-93.9196,45.7326
20191224200000-1568,3.55871886120996,0.0,cardiff wales millennium centre;national theatre of dzeged,orsolya ferenczy;urdd hall;sosban fach;elizabeth sillo;dorothy singh;tua bethlem dref,"Germany;Kunagota, B̩S, Hungary;Hungary;Battonya, B̩S, Hungary;Romania;Carmarthenshire, Carmarthenshire, United Kingdom",20191224200000,10.5,51.5
20191209081500-692,1.85185185185185,3.7037037037037,instagram,wendy shay,"Lagos, Lagos, Nigeria;United States;Nigeria;Accra, Greater Accra, Ghana;Ghana",20191209081500,3.39583,6.45306
20190625010000-861,0.928792569659443,5.882352941176469,cnn,jussie smollett,"Chicago, Illinois, United States",20190625010000,-87.6501,41.85
